ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
tt11199310,Miss India,2020.0,136.0,3.3,1464.0,Drama            ,tamil
tt0246728,Khichdi,1985.0,139.0,6.8,10.0,Comedy            ,marathi
tt7853292,Antariksham 9000 kmph,2018.0,140.0,6.0,1076.0,"Adventure, Drama, Sci-Fi            ",telugu
tt0244949,Accident,1985.0,121.0,7.8,199.0,"Crime, Drama, Thriller            ",kannada
tt4251118,Dai Daitya,1999.0,150.0,6.5,13.0,Drama            ,bengali
tt0283496,Mr. Butler,2000.0,126.0,5.6,223.0,"Comedy, Drama            ",malayalam
tt4699988,Saaradhi,2015.0,,5.2,53.0,Thriller            ,malayalam
tt0250937,Ankhon Mein Tum Ho,1997.0,151.0,5.6,45.0,Romance            ,hindi
tt0316051,Jamla Ho Jamla,1995.0,148.0,5.9,8.0,,marathi
tt0305423,Devullu,2001.0,148.0,7.0,115.0,Drama            ,telugu
tt8291224,Uri: The Surgical Strike,2018.0,138.0,8.2,44391.0,"Action, Drama, War            ",hindi
tt0091512,Mera Dharam,1986.0,,4.1,8.0,"Action, Thriller            ",hindi
tt2224254,3 Bachelors,2012.0,114.0,3.3,164.0,"Comedy, Romance            ",hindi
tt5475136,Ebhabeo Phire Asha Jay,2015.0,110.0,7.0,7.0,Comedy            ,bengali
tt0411469,Hazaaron Khwaishein Aisi,2003.0,120.0,7.9,4709.0,Drama            ,hindi
tt8873348,Boyz 2,2018.0,122.0,6.8,212.0,Comedy            ,marathi
tt11543916,Chathur Mukham,2021.0,138.0,8.1,321.0,"Horror, Thriller            ",malayalam
tt0319480,Hafta Vasuli,1998.0,140.0,5.0,24.0,Action            ,hindi
tt1575636,Moodu Mukkalata,2000.0,,4.2,24.0,Romance            ,telugu
tt2265493,Payyans,2011.0,138.0,3.8,80.0,Drama            ,malayalam
tt0975292,Kharidar,,65.0,7.6,8.0,Drama            ,oriya
tt4024858,8969,2016.0,147.0,6.8,49.0,"Crime, Mystery, Thriller            ",urdu
tt5245160,Rajlokkhi Srikanto,1987.0,,8.5,22.0,"Drama, Romance            ",bengali
tt1202569,Lal Pahare'r Katha,2007.0,,6.1,19.0,Drama            ,bengali
tt0422943,Petals,2001.0,16.0,5.8,5.0,Short            ,malayalam
tt0316854,Vietnam Veedu,1970.0,164.0,7.1,78.0,Drama            ,tamil
tt0454411,Black Cobra,1981.0,,4.9,26.0,"Action, Adventure, Crime            ",telugu
tt7678460,Firkee,2018.0,113.0,8.5,20.0,Drama            ,marathi
tt1474271,Love Khichdi,2009.0,130.0,5.7,301.0,"Comedy, Drama, Romance            ",hindi
tt1620697,Bhavnao Ko Samjho,2010.0,114.0,4.2,75.0,"Action, Comedy, Drama            ",hindi
tt9166956,Surya Parvai,1999.0,,5.8,13.0,"Action, Crime            ",tamil
tt8431326,Atmogopon,2013.0,,7.4,10.0,Thriller            ,bengali
tt2939144,Entry,,107.0,1.9,23.0,"Action, Crime, Drama            ",malayalam
tt6143982,Shonibar Bikel,2019.0,83.0,8.3,59.0,"Drama, Thriller            ",bengali
tt1399186,Ei Prithibi Tomar Aamar,2009.0,130.0,7.2,14.0,"Drama, Musical, Romance            ",bengali
tt1182884,Dulha Mil Gaya,2010.0,152.0,4.2,2478.0,"Comedy, Drama, Romance            ",hindi
tt1575706,Veedekkadi Mogudandi,2001.0,,6.5,15.0,Drama            ,telugu
tt0165610,Agent Vinod,1977.0,139.0,5.7,84.0,"Action, Crime, Drama            ",hindi
tt1756660,Oru Black & White Kudumbam,2009.0,135.0,4.3,58.0,"Comedy, Drama            ",malayalam
tt0371982,Taxi Driver,1981.0,129.0,8.4,35.0,Musical            ,telugu
tt0392741,Samundari Daku,1956.0,,6.4,5.0,Action            ,hindi
tt0249164,Srivaariki Premalekha,1984.0,,6.8,116.0,"Comedy, Romance            ",telugu
tt5785158,Dulla Bhatti Wala,2016.0,107.0,5.0,65.0,Drama            ,punjabi
tt4501288,Mylanchi Monjulla Veedu,2014.0,158.0,4.4,113.0,"Comedy, Drama            ",malayalam
tt0284811,Aarzoo,1999.0,175.0,5.4,1431.0,"Drama, Romance            ",hindi
tt1499272,London,,149.0,4.4,93.0,"Action, Comedy, Drama            ",tamil
tt0329610,Siva Rama Raju,2002.0,,6.2,46.0,"Action, Drama            ",telugu
tt5338082,Sur Sapata,2019.0,128.0,7.2,38.0,"Comedy, Drama, Sport            ",marathi
tt0254777,Seevalaperi Pandi,1994.0,114.0,6.8,40.0,"Action, Thriller            ",tamil
tt0827695,Amma Cheppindi,2006.0,,7.2,141.0,Drama            ,telugu
tt0323188,Maragatham,1959.0,203.0,6.6,5.0,,tamil
tt8061218,Indian Never Again Nirbhaya,2018.0,,6.7,26.0,Drama            ,hindi
tt0115009,Yaraana,1995.0,125.0,4.7,332.0,"Action, Drama, Musical            ",hindi
tt0770214,Kabul Express,2006.0,105.0,6.8,3142.0,"Adventure, Comedy, Drama            ",hindi
tt4912834,Chhutir Ghonta,1980.0,,8.8,406.0,Drama            ,bengali
tt0156985,Sadak,1991.0,134.0,6.6,2287.0,"Action, Drama, Romance            ",hindi
tt0232674,Son of India,1962.0,,5.8,50.0,Drama            ,hindi
tt1515210,Vihir,2009.0,120.0,7.3,252.0,Drama            ,marathi
tt0391536,Wrong Number,,121.0,4.0,56.0,"Mystery, Thriller            ",hindi
tt6425106,Jibon Songi,1996.0,,6.8,5.0,Romance            ,bengali
tt8427084,Ratri Shesher Tara,2017.0,,7.2,12.0,Family            ,bengali
tt6035592,Selfie,,123.0,7.6,5.0,"Horror, Thriller            ",kannada
tt0269755,Raat Chali Hai Jhoom Ke,2002.0,,7.4,27.0,"Action, Drama            ",oriya
tt0157974,Mardon Wali Baat,1988.0,,4.9,52.0,"Action, Adventure, Comedy            ",hindi
tt10636632,Buro Sadhu,2019.0,96.0,7.2,240.0,Drama            ,bengali
tt0154412,Dil Aur Deewaar,1978.0,156.0,5.5,30.0,"Action, Crime, Drama            ",hindi
tt0451919,Socha Na Tha,2005.0,137.0,7.4,7445.0,"Comedy, Drama, Romance            ",hindi
